tech;stav;pozn
;;"stav = ostra | priprava. Ostra = da se v ni pracovat, priprava = zamcena."
;;"Odemykat az kdyz jsou k technologii receptury i parametry tisku a postup je overeny."
;;"Aplikace si sama hlida, co ktere technologii chybi - viz odemykaci seznam v menu."
FIR;ostra;"vypalovani, nizka teplota - databaze Ferro Xpression + vlastni receptury"
SCR;ostra;"chybi parametry sit a overene koeficienty"
TXP;ostra;"chybi parametry sit pro textil a overene koeficienty"
PDP;ostra;"chybi hloubky leptu klise"
TRS;ostra;"chybi postup a parametry"
