"ref";"barva";"technologie";"poloha";"receptura";"databaze"
"11196";"102";"SCR";"penál / Přední";"PANTONE 132 C (PRINTCOLOR 660) · 92734 · 103 · SCR Taška / Přední";"custom_PRINTCOLOR_660.csv"
"11196";"102";"SCR";"penál / Zadní";"PANTONE 132 C (PRINTCOLOR 660) · 92734 · 103 · SCR Taška / Přední";"custom_PRINTCOLOR_660.csv"
"11196";"102";"SCR";"Pravítko / Přední";"PANTONE 132 C (PRINTCOLOR 660) · 92734 · 103 · SCR Taška / Přední";"custom_PRINTCOLOR_660.csv"
"30104";"Limetkově žlutá";"";"";"30104 · Limetkově žlutá — PANTONE 485 C";"receptury_vlastni.csv"
"92734";"103";"SCR";"Taška / Přední";"92734 · 103 Černá · SCR Taška / Přední — PANTONE Cool Gray 1 C";"custom_Ferro_Xpresssion.csv"
"93895";"110";"FIR";"Pohár 2 / Boční část těla";"PANTONE 2738 C (Ferro Xpresssion) · 94024 · 110 · FIR Džbánek / Tělo lahve";"custom_Ferro_Xpresssion.csv"
"94024";"110";"FIR";"Džbánek / Tělo lahve";"PANTONE 2738 C (Ferro Xpresssion) · 94024 · 110 · FIR Džbánek / Tělo lahve";"custom_Ferro_Xpresssion.csv"
